LG_ST_Code,State,LG_DT_Code,District,Pincode,RegistrationDate,EnterpriseName,CommunicationAddress,Activities
24,GUJARAT,453,NAVSARI,396445,7/10/2025,JAGDISH LAXMANBHAI KONDA,"-, BHIMNAGAR, NAVSARI, -, -, NAVSARI","[{""NIC5DigitId"":""68200"",""Description"":""Real estate activities on a fee or contract basis""}]"
24,GUJARAT,453,NAVSARI,396445,7/10/2025,S S GARMENTS,"22/3, SAGUN NAGAR, VIJALPORE, 22/3, 0, NAVSARI","[{""NIC5DigitId"":""13122"",""Description"":""Weaving, manufacture of silk and silk mixture fabrics.""}]"
24,GUJARAT,453,NAVSARI,396040,7/10/2025,SHREE SHIVKRUPA TRADERS,"HOUSE NO 2297/1, NEAR BIRSHA MUNDA CIRCLE, NAVA ROAD, HOUSE NO 2297/1, KHERGAM, KHERGAM","[{""NIC5DigitId"":""47521"",""Description"":""Retail sale of building material such as bricks, wood, sanitary equipment""}]"
24,GUJARAT,453,NAVSARI,396321,7/10/2025,RAMESHBHAI UTTAMBHAI GUPTA,"SARVODAY NAGAR, TALODH, TALODH, SARVODAY NAGAR, GANDEVI, BILIMORA","[{""NIC5DigitId"":""47110"",""Description"":""Retail sale in non-specialized stores with food, beverages or tobacco predominating""}]"
24,GUJARAT,453,NAVSARI,396560,7/10/2025,HITESHKUMAR DHIRUBHAI PATEL,"00, RANKUVA, HARANGAM ROAD, 00, CHIKHLI, NAVSARI","[{""NIC5DigitId"":""52109"",""Description"":""Storage and warehousing n.e.c.[Includes general merchandise warehouses and warehousing of furniture, automobiles, gas and oil, chemicals, textiles etc. Also included is storage of goods in foreign trade zones]""}]"
24,GUJARAT,453,NAVSARI,396590,7/10/2025,Shiv Shakti Super Market,"561, Shiv Shakti Super Market, Lilavan Faliyu, 561, Vansda, Unai","[{""NIC5DigitId"":""47211"",""Description"":""Retail sale of cereals and pulses, tea, coffee, spices and flour""}]"
24,GUJARAT,453,NAVSARI,396040,7/10/2025,USHA KIRANA STORE,"2258, PRAKASHBHAI RATHOD, KHERGAM, 2258, KHERGAM, KHERGAM","[{""NIC5DigitId"":""47190"",""Description"":""Other retail sale in non-specialized stores""}]"
24,GUJARAT,453,NAVSARI,396060,7/10/2025,KRISHNA TRACTOR,"0, Zadi Faliya, Chikhli, 0, 0, Navsari","[{""NIC5DigitId"":""47740"",""Description"":""Retail sale of second-hand goods""}]"
24,GUJARAT,453,NAVSARI,396530,7/10/2025,MAA MELDI SOUNDS,"0, DHODIYAVAD, CHIKHLI, 0, A, NAVSARI","[{""NIC5DigitId"":""59201"",""Description"":""Activities of sound recording in studio or elsewhere""}]"
24,GUJARAT,453,NAVSARI,396424,4/10/2025,TRICURA LLP,"OFFICE NO.101, SHREEJI RESIDENCY, OPP. BAPS SWAMINARAYAN MANDIR,, OFFICE NO.101, KABILPORE, NAVSARI","[{""NIC5DigitId"":""46909"",""Description"":""Other non-specialised wholesale trade n.e.c.""},{""NIC5DigitId"":""20297"",""Description"":""Manufacture of chemical products or preparations of a kind used in the textiles, paper, leather and like industries""},{""NIC5DigitId"":""21009"",""Description"":""Manufacture of other pharmaceutical and botanical products n.e.c. like hina powder etc.""},{""NIC5DigitId"":""10309"",""Description"":""Preservation of fruit and vegetables n.e.c.""}]"
